Time,Cell_Name,Cell_ID,Total _Traffic(GigaBytes)
2025-08-01 00:00,CKN_3,3,4.0083
2025-08-01 00:00,CKN_2,2,0.4917
2025-08-01 00:00,CKN_1,1,0.6879
2025-08-01 00:00,GNP_3,3,2.2245
2025-08-01 00:00,GNP_2,2,1.69
2025-08-01 00:00,GNP_1,1,0.3842
2025-08-01 00:00,MGW_3,3,1.1781
2025-08-01 00:00,MGW_2,2,1.3829
2025-08-01 00:00,MGW_1,1,1.3705
2025-08-01 00:00,DSV_3,3,4.0736
2025-08-01 00:00,DSV_2,2,0.6799
2025-08-01 00:00,DSV_1,1,3.5762
2025-08-01 00:00,DSS_3,3,1.3287
2025-08-01 00:00,DSS_2,2,2.7357
2025-08-01 00:00,DSS_1,1,1.4237
2025-08-01 00:00,KWS_7,7,1.7276
2025-08-01 00:00,KWS_8,8,6.6825
2025-08-01 00:00,KWS_9,9,6.1739
2025-08-01 00:00,DSV_7,7,11.7714
2025-08-01 00:00,DSV_8,8,4.1956
2025-08-01 00:00,DSV_9,9,4.9348
2025-08-01 00:00,DSS_7,7,4.0186
2025-08-01 00:00,DSS_8,8,2.3868
2025-08-01 00:00,DSS_9,9,1.5365
2025-08-01 00:00,CKN_7,7,0.1636
2025-08-01 00:00,CKN_8,8,1.6543
2025-08-01 00:00,CKN_9,9,0.7306
2025-08-01 00:00,GNP_7,7,2.4392
2025-08-01 00:00,GNP_8,8,2.1929
2025-08-01 00:00,GNP_9,9,4.375
2025-08-01 00:00,KWS_3_4,134,0.3993
2025-08-01 00:00,KWS_3_3,133,0.3344
2025-08-01 00:00,KWS_3_2,132,2.7746
2025-08-01 00:00,KWS_3_1,131,4.5797
2025-08-01 00:00,KWS_2_4,124,4.1167
2025-08-01 00:00,KWS_2_3,123,5.3199
2025-08-01 00:00,KWS_2_2,122,1.7667
2025-08-01 00:00,KWS_2_1,121,1.9182
2025-08-01 00:00,KWS_1_4,114,3.28
2025-08-01 00:00,KWS_1_3,113,1.6727
2025-08-01 00:00,KWS_1_2,112,0.9564
2025-08-01 00:00,KWS_1_1,111,0.5784
2025-08-01 00:00,NKT_1,1,0.0431
2025-08-01 00:00,NKT_2,2,0.4704
2025-08-01 00:00,NKT_3,3,0.009
2025-08-01 00:00,GNB_1,1,0.3003
2025-08-01 00:00,GNB_2,2,1.0395
2025-08-01 00:00,GNB_3,3,1.3994
2025-08-01 00:00,GNB_7,7,0.1874
2025-08-01 00:00,GNB_8,8,1.7017
2025-08-01 00:00,GNB_9,9,1.6142
2025-08-01 00:00,MRP_3,3,1.3616
2025-08-01 00:00,MRP_2,2,1.4913
2025-08-01 00:00,MRP_1,1,2.5707
2025-08-01 00:00,TNP_3,3,0.324
2025-08-01 00:00,TNP_2,2,5.7994
2025-08-01 00:00,TNP_1,1,0.0042
2025-08-01 00:00,DSC_9,9,1.1465
2025-08-01 00:00,DSC_8,8,0.0732
2025-08-01 00:00,DSC_7,7,1.6657
2025-08-01 00:00,DSC_3,3,0.6125
2025-08-01 00:00,DSC_2,2,0.1844
2025-08-01 00:00,DSC_1,1,4.7578
2025-08-01 01:00,CKN_3,3,2.6776
2025-08-01 01:00,CKN_2,2,0.2244
2025-08-01 01:00,CKN_1,1,1.3555
2025-08-01 01:00,GNP_3,3,4.5702
2025-08-01 01:00,GNP_2,2,1.4424
2025-08-01 01:00,GNP_1,1,0.1652
2025-08-01 01:00,MGW_3,3,1.3543
2025-08-01 01:00,MGW_2,2,1.141
2025-08-01 01:00,MGW_1,1,0.7468
2025-08-01 01:00,DSV_3,3,1.9083
2025-08-01 01:00,DSV_2,2,0.778
2025-08-01 01:00,DSV_1,1,3.775
2025-08-01 01:00,DSS_3,3,0.6523
2025-08-01 01:00,DSS_2,2,1.4492
2025-08-01 01:00,DSS_1,1,1.785
2025-08-01 01:00,KWS_7,7,0.9558
2025-08-01 01:00,KWS_8,8,2.2324
2025-08-01 01:00,KWS_9,9,5.0651
2025-08-01 01:00,DSV_7,7,10.9442
2025-08-01 01:00,DSV_8,8,3.6173
2025-08-01 01:00,DSV_9,9,2.5968
2025-08-01 01:00,DSS_7,7,3.7968
2025-08-01 01:00,DSS_8,8,1.015
2025-08-01 01:00,DSS_9,9,0.8274
2025-08-01 01:00,CKN_7,7,0.0455
2025-08-01 01:00,CKN_8,8,1.58
2025-08-01 01:00,CKN_9,9,0.3837
2025-08-01 01:00,GNP_7,7,0.6137
2025-08-01 01:00,GNP_8,8,0.8896
2025-08-01 01:00,GNP_9,9,1.9171
2025-08-01 01:00,KWS_3_4,134,0.0476
2025-08-01 01:00,KWS_3_3,133,0.0683
2025-08-01 01:00,KWS_3_2,132,1.1884
2025-08-01 01:00,KWS_3_1,131,2.6295
2025-08-01 01:00,KWS_2_4,124,2.2782
2025-08-01 01:00,KWS_2_3,123,1.9997
2025-08-01 01:00,KWS_2_2,122,0.7878
2025-08-01 01:00,KWS_2_1,121,1.479
2025-08-01 01:00,KWS_1_4,114,3.0517
2025-08-01 01:00,KWS_1_3,113,1.421
2025-08-01 01:00,KWS_1_2,112,0.822
2025-08-01 01:00,KWS_1_1,111,0.262
2025-08-01 01:00,NKT_1,1,0.3827
2025-08-01 01:00,NKT_2,2,0.1622
2025-08-01 01:00,NKT_3,3,0.0072
2025-08-01 01:00,GNB_1,1,3.7256
2025-08-01 01:00,GNB_2,2,0.9128
2025-08-01 01:00,GNB_3,3,1.4652
2025-08-01 01:00,GNB_7,7,0.1676
2025-08-01 01:00,GNB_8,8,0.6777
2025-08-01 01:00,GNB_9,9,1.0502
2025-08-01 01:00,MRP_3,3,1.287
2025-08-01 01:00,MRP_2,2,1.2443
2025-08-01 01:00,MRP_1,1,3.5749
2025-08-01 01:00,TNP_3,3,1.0559
2025-08-01 01:00,TNP_2,2,6.0623
2025-08-01 01:00,TNP_1,1,0.0014
2025-08-01 01:00,DSC_9,9,0.718
2025-08-01 01:00,DSC_8,8,0.4258
2025-08-01 01:00,DSC_7,7,1.4345
2025-08-01 01:00,DSC_3,3,0.3247
2025-08-01 01:00,DSC_2,2,0.1676
2025-08-01 01:00,DSC_1,1,2.8021
2025-08-01 02:00,CKN_3,3,2.2722
2025-08-01 02:00,CKN_2,2,0.2162
2025-08-01 02:00,CKN_1,1,1.0636
2025-08-01 02:00,GNP_3,3,1.7296
2025-08-01 02:00,GNP_2,2,1.1732
2025-08-01 02:00,GNP_1,1,0.2127
2025-08-01 02:00,MGW_3,3,0.624
2025-08-01 02:00,MGW_2,2,1.8466
2025-08-01 02:00,MGW_1,1,0.7695
2025-08-01 02:00,DSV_3,3,0.6865
2025-08-01 02:00,DSV_2,2,0.855
2025-08-01 02:00,DSV_1,1,5.8683
2025-08-01 02:00,DSS_3,3,0.6874
2025-08-01 02:00,DSS_2,2,1.8857
2025-08-01 02:00,DSS_1,1,2.8499
2025-08-01 02:00,KWS_7,7,0.5062
2025-08-01 02:00,KWS_8,8,2.2984
2025-08-01 02:00,KWS_9,9,2.7923
2025-08-01 02:00,DSV_7,7,6.6269
2025-08-01 02:00,DSV_8,8,4.1516
2025-08-01 02:00,DSV_9,9,2.4091
2025-08-01 02:00,DSS_7,7,1.3798
2025-08-01 02:00,DSS_8,8,0.3706
2025-08-01 02:00,DSS_9,9,0.6702
2025-08-01 02:00,CKN_7,7,0.0761
2025-08-01 02:00,CKN_8,8,1.8273
2025-08-01 02:00,CKN_9,9,0.3416
2025-08-01 02:00,GNP_7,7,0.738
2025-08-01 02:00,GNP_8,8,1.1504
2025-08-01 02:00,GNP_9,9,2.9361
2025-08-01 02:00,KWS_3_4,134,0.0156
2025-08-01 02:00,KWS_3_3,133,0.2561
2025-08-01 02:00,KWS_3_2,132,1.3464
2025-08-01 02:00,KWS_3_1,131,2.4919
2025-08-01 02:00,KWS_2_4,124,2.1011
2025-08-01 02:00,KWS_2_3,123,2.4857
2025-08-01 02:00,KWS_2_2,122,1.1316
2025-08-01 02:00,KWS_2_1,121,2.6486
2025-08-01 02:00,KWS_1_4,114,4.7253
2025-08-01 02:00,KWS_1_3,113,0.8059
2025-08-01 02:00,KWS_1_2,112,1.0057
2025-08-01 02:00,KWS_1_1,111,0.4134
2025-08-01 02:00,NKT_1,1,0.1176
2025-08-01 02:00,NKT_2,2,0.044
2025-08-01 02:00,NKT_3,3,0.0032
2025-08-01 02:00,GNB_1,1,0.342
2025-08-01 02:00,GNB_2,2,0.7681
2025-08-01 02:00,GNB_3,3,1.3248
2025-08-01 02:00,GNB_7,7,0.1747
2025-08-01 02:00,GNB_8,8,0.2468
2025-08-01 02:00,GNB_9,9,1.0318
2025-08-01 02:00,MRP_3,3,0.8446
2025-08-01 02:00,MRP_2,2,0.5802
2025-08-01 02:00,MRP_1,1,1.9687
2025-08-01 02:00,TNP_3,3,1.0741
2025-08-01 02:00,TNP_2,2,3.6768
2025-08-01 02:00,TNP_1,1,0.0001
2025-08-01 02:00,DSC_9,9,0.418
2025-08-01 02:00,DSC_8,8,0.1772
2025-08-01 02:00,DSC_7,7,0.982
2025-08-01 02:00,DSC_3,3,0.538
2025-08-01 02:00,DSC_2,2,0.4795
2025-08-01 02:00,DSC_1,1,1.5431
2025-08-01 03:00,CKN_3,3,3.2408
2025-08-01 03:00,CKN_2,2,0.0916
2025-08-01 03:00,CKN_1,1,0.5424
2025-08-01 03:00,GNP_3,3,1.494
2025-08-01 03:00,GNP_2,2,1.3669
2025-08-01 03:00,GNP_1,1,0.0644
2025-08-01 03:00,MGW_3,3,0.6821
2025-08-01 03:00,MGW_2,2,0.429
2025-08-01 03:00,MGW_1,1,0.7968
2025-08-01 03:00,DSV_3,3,1.5142
2025-08-01 03:00,DSV_2,2,0.203
2025-08-01 03:00,DSV_1,1,4.4448
2025-08-01 03:00,DSS_3,3,1.2376
2025-08-01 03:00,DSS_2,2,0.6876
2025-08-01 03:00,DSS_1,1,0.7943
2025-08-01 03:00,KWS_7,7,0.4567
2025-08-01 03:00,KWS_8,8,1.6085
2025-08-01 03:00,KWS_9,9,1.1003
2025-08-01 03:00,DSV_7,7,6.8784
2025-08-01 03:00,DSV_8,8,1.7002
2025-08-01 03:00,DSV_9,9,2.5443
2025-08-01 03:00,DSS_7,7,0.8024
2025-08-01 03:00,DSS_8,8,0.1888
2025-08-01 03:00,DSS_9,9,0.7853
2025-08-01 03:00,CKN_7,7,0.0428
2025-08-01 03:00,CKN_8,8,1.1055
2025-08-01 03:00,CKN_9,9,0.143
2025-08-01 03:00,GNP_7,7,0.734
2025-08-01 03:00,GNP_8,8,0.6841
2025-08-01 03:00,GNP_9,9,1.5078
2025-08-01 03:00,KWS_3_4,134,0.016
2025-08-01 03:00,KWS_3_3,133,0.32
2025-08-01 03:00,KWS_3_2,132,1.2719
2025-08-01 03:00,KWS_3_1,131,1.3587
2025-08-01 03:00,KWS_2_4,124,2.2785
2025-08-01 03:00,KWS_2_3,123,2.2246
2025-08-01 03:00,KWS_2_2,122,1.0208
2025-08-01 03:00,KWS_2_1,121,0.9958
2025-08-01 03:00,KWS_1_4,114,2.6879
2025-08-01 03:00,KWS_1_3,113,0.2275
2025-08-01 03:00,KWS_1_2,112,1.0076
2025-08-01 03:00,KWS_1_1,111,0.464
2025-08-01 03:00,NKT_1,1,0.1736
2025-08-01 03:00,NKT_2,2,0.0502
2025-08-01 03:00,NKT_3,3,0.0091
2025-08-01 03:00,GNB_1,1,0.8479
2025-08-01 03:00,GNB_2,2,0.9252
2025-08-01 03:00,GNB_3,3,0.596
2025-08-01 03:00,GNB_7,7,0.2902
2025-08-01 03:00,GNB_8,8,0.4498
2025-08-01 03:00,GNB_9,9,0.34
2025-08-01 03:00,MRP_3,3,1.0303
2025-08-01 03:00,MRP_2,2,0.7272
2025-08-01 03:00,MRP_1,1,1.4865
2025-08-01 03:00,TNP_3,3,2.1371
2025-08-01 03:00,TNP_2,2,2.3108
2025-08-01 03:00,TNP_1,1,0.0005
2025-08-01 03:00,DSC_9,9,0.7516
2025-08-01 03:00,DSC_8,8,0.3132
2025-08-01 03:00,DSC_7,7,1.0554
2025-08-01 03:00,DSC_3,3,0.1978
2025-08-01 03:00,DSC_2,2,0.3352
2025-08-01 03:00,DSC_1,1,0.8282
2025-08-01 04:00,CKN_3,3,3.3585
2025-08-01 04:00,CKN_2,2,0.5261
2025-08-01 04:00,CKN_1,1,0.181
2025-08-01 04:00,GNP_3,3,1.5862
2025-08-01 04:00,GNP_2,2,1.3969
2025-08-01 04:00,GNP_1,1,0.0759
2025-08-01 04:00,MGW_3,3,0.594
2025-08-01 04:00,MGW_2,2,0.3747
2025-08-01 04:00,MGW_1,1,1.2439
2025-08-01 04:00,DSV_3,3,1.3084
2025-08-01 04:00,DSV_2,2,0.47
2025-08-01 04:00,DSV_1,1,4.543
2025-08-01 04:00,DSS_3,3,3.0267
2025-08-01 04:00,DSS_2,2,0.6038
2025-08-01 04:00,DSS_1,1,0.7313
2025-08-01 04:00,KWS_7,7,0.7242
2025-08-01 04:00,KWS_8,8,1.6412
2025-08-01 04:00,KWS_9,9,1.8143
2025-08-01 04:00,DSV_7,7,6.8614
2025-08-01 04:00,DSV_8,8,2.8333
2025-08-01 04:00,DSV_9,9,4.1647
2025-08-01 04:00,DSS_7,7,1.7818
2025-08-01 04:00,DSS_8,8,2.0144
2025-08-01 04:00,DSS_9,9,1.5884
2025-08-01 04:00,CKN_7,7,0.2697
2025-08-01 04:00,CKN_8,8,1.9033
2025-08-01 04:00,CKN_9,9,0.4916
2025-08-01 04:00,GNP_7,7,1.0529
2025-08-01 04:00,GNP_8,8,1.8067
2025-08-01 04:00,GNP_9,9,1.4461
2025-08-01 04:00,KWS_3_4,134,0.0873
2025-08-01 04:00,KWS_3_3,133,0.2506
2025-08-01 04:00,KWS_3_2,132,1.0779
2025-08-01 04:00,KWS_3_1,131,3.4349
2025-08-01 04:00,KWS_2_4,124,3.8183
2025-08-01 04:00,KWS_2_3,123,2.3324
2025-08-01 04:00,KWS_2_2,122,1.2631
2025-08-01 04:00,KWS_2_1,121,1.5359
2025-08-01 04:00,KWS_1_4,114,1.7678
2025-08-01 04:00,KWS_1_3,113,1.8631
2025-08-01 04:00,KWS_1_2,112,2.5082
2025-08-01 04:00,KWS_1_1,111,0.1683
2025-08-01 04:00,NKT_1,1,0.1645
2025-08-01 04:00,NKT_2,2,0.0588
2025-08-01 04:00,NKT_3,3,0.0145
2025-08-01 04:00,GNB_1,1,1.0803
2025-08-01 04:00,GNB_2,2,1.0329
2025-08-01 04:00,GNB_3,3,0.5822
2025-08-01 04:00,GNB_7,7,0.6247
2025-08-01 04:00,GNB_8,8,0.9523
2025-08-01 04:00,GNB_9,9,0.3018
2025-08-01 04:00,MRP_3,3,1.1651
2025-08-01 04:00,MRP_2,2,0.7276
2025-08-01 04:00,MRP_1,1,1.5706
2025-08-01 04:00,TNP_3,3,1.7696
2025-08-01 04:00,TNP_2,2,3.4671
2025-08-01 04:00,TNP_1,1,0.0001
2025-08-01 04:00,DSC_9,9,0.571
2025-08-01 04:00,DSC_8,8,0.5268
2025-08-01 04:00,DSC_7,7,2.0458
2025-08-01 04:00,DSC_3,3,0.2939
2025-08-01 04:00,DSC_2,2,0.0516
2025-08-01 04:00,DSC_1,1,1.6836
2025-08-01 05:00,CKN_3,3,2.5019
2025-08-01 05:00,CKN_2,2,0.4014
2025-08-01 05:00,CKN_1,1,0.3037
2025-08-01 05:00,GNP_3,3,1.7857
2025-08-01 05:00,GNP_2,2,1.0302
2025-08-01 05:00,GNP_1,1,0.32
2025-08-01 05:00,MGW_3,3,1.0184
2025-08-01 05:00,MGW_2,2,0.5436
2025-08-01 05:00,MGW_1,1,1.8115
2025-08-01 05:00,DSV_3,3,2.3525
2025-08-01 05:00,DSV_2,2,1.7531
2025-08-01 05:00,DSV_1,1,6.8483
2025-08-01 05:00,DSS_3,3,2.1222
2025-08-01 05:00,DSS_2,2,1.5142
2025-08-01 05:00,DSS_1,1,1.3358
2025-08-01 05:00,KWS_7,7,1.1953
2025-08-01 05:00,KWS_8,8,5.0419
2025-08-01 05:00,KWS_9,9,2.7106
2025-08-01 05:00,DSV_7,7,13.0988
2025-08-01 05:00,DSV_8,8,5.8218
2025-08-01 05:00,DSV_9,9,6.9126
2025-08-01 05:00,DSS_7,7,3.7849
2025-08-01 05:00,DSS_8,8,2.5521
2025-08-01 05:00,DSS_9,9,3.1776
2025-08-01 05:00,CKN_7,7,0.2547
2025-08-01 05:00,CKN_8,8,3.2761
2025-08-01 05:00,CKN_9,9,1.2504
2025-08-01 05:00,GNP_7,7,2.4166
2025-08-01 05:00,GNP_8,8,4.4217
2025-08-01 05:00,GNP_9,9,2.9386
2025-08-01 05:00,KWS_3_4,134,0.4456
2025-08-01 05:00,KWS_3_3,133,0.3407
2025-08-01 05:00,KWS_3_2,132,1.6915
2025-08-01 05:00,KWS_3_1,131,3.2672
2025-08-01 05:00,KWS_2_4,124,5.4706
2025-08-01 05:00,KWS_2_3,123,3.5491
2025-08-01 05:00,KWS_2_2,122,1.3975
2025-08-01 05:00,KWS_2_1,121,2.5834
2025-08-01 05:00,KWS_1_4,114,2.8597
2025-08-01 05:00,KWS_1_3,113,2.8389
2025-08-01 05:00,KWS_1_2,112,5.2284
2025-08-01 05:00,KWS_1_1,111,0.8517
2025-08-01 05:00,NKT_1,1,0.1244
2025-08-01 05:00,NKT_2,2,0.1489
2025-08-01 05:00,NKT_3,3,0.0101
2025-08-01 05:00,GNB_1,1,0.3787
2025-08-01 05:00,GNB_2,2,1.2833
2025-08-01 05:00,GNB_3,3,1.1505
2025-08-01 05:00,GNB_7,7,0.6687
2025-08-01 05:00,GNB_8,8,1.2548
2025-08-01 05:00,GNB_9,9,1.416
2025-08-01 05:00,MRP_3,3,1.8253
2025-08-01 05:00,MRP_2,2,0.8743
2025-08-01 05:00,MRP_1,1,2.0775
2025-08-01 05:00,TNP_3,3,1.2423
2025-08-01 05:00,TNP_2,2,5.3238
2025-08-01 05:00,TNP_1,1,0.0023
2025-08-01 05:00,DSC_9,9,1.2049
2025-08-01 05:00,DSC_8,8,0.4617
2025-08-01 05:00,DSC_7,7,1.4866
2025-08-01 05:00,DSC_3,3,0.7848
2025-08-01 05:00,DSC_2,2,0.5217
2025-08-01 05:00,DSC_1,1,3.101
2025-08-01 06:00,CKN_3,3,4.557
2025-08-01 06:00,CKN_2,2,1.0553
2025-08-01 06:00,CKN_1,1,0.8918
2025-08-01 06:00,GNP_3,3,2.332
2025-08-01 06:00,GNP_2,2,2.9195
2025-08-01 06:00,GNP_1,1,0.6341
2025-08-01 06:00,MGW_3,3,1.9974
2025-08-01 06:00,MGW_2,2,1.3201
2025-08-01 06:00,MGW_1,1,2.1468
2025-08-01 06:00,DSV_3,3,4.445
2025-08-01 06:00,DSV_2,2,2.4313
2025-08-01 06:00,DSV_1,1,11.181
2025-08-01 06:00,DSS_3,3,3.5587
2025-08-01 06:00,DSS_2,2,3.5057
2025-08-01 06:00,DSS_1,1,2.8995
2025-08-01 06:00,KWS_7,7,1.9999
2025-08-01 06:00,KWS_8,8,6.9985
2025-08-01 06:00,KWS_9,9,4.8084
2025-08-01 06:00,DSV_7,7,16.0401
2025-08-01 06:00,DSV_8,8,9.9525
2025-08-01 06:00,DSV_9,9,11.7464
2025-08-01 06:00,DSS_7,7,5.7567
2025-08-01 06:00,DSS_8,8,4.4889
2025-08-01 06:00,DSS_9,9,5.791
2025-08-01 06:00,CKN_7,7,0.5175
2025-08-01 06:00,CKN_8,8,5.1615
2025-08-01 06:00,CKN_9,9,1.1775
2025-08-01 06:00,GNP_7,7,3.1207
2025-08-01 06:00,GNP_8,8,5.0162
2025-08-01 06:00,GNP_9,9,4.8073
2025-08-01 06:00,KWS_3_4,134,1.4207
2025-08-01 06:00,KWS_3_3,133,0.8886
2025-08-01 06:00,KWS_3_2,132,3.6459
2025-08-01 06:00,KWS_3_1,131,9.9473
2025-08-01 06:00,KWS_2_4,124,5.697
2025-08-01 06:00,KWS_2_3,123,7.086
2025-08-01 06:00,KWS_2_2,122,2.9257
2025-08-01 06:00,KWS_2_1,121,4.0868
2025-08-01 06:00,KWS_1_4,114,5.8708
2025-08-01 06:00,KWS_1_3,113,1.906
2025-08-01 06:00,KWS_1_2,112,2.3782
2025-08-01 06:00,KWS_1_1,111,0.892
2025-08-01 06:00,NKT_1,1,0.6006
2025-08-01 06:00,NKT_2,2,1.2071
2025-08-01 06:00,NKT_3,3,0.0268
2025-08-01 06:00,GNB_1,1,0.5224
2025-08-01 06:00,GNB_2,2,2.5467
2025-08-01 06:00,GNB_3,3,2.6058
2025-08-01 06:00,GNB_7,7,1.0999
2025-08-01 06:00,GNB_8,8,4.3308
2025-08-01 06:00,GNB_9,9,1.6151
2025-08-01 06:00,MRP_3,3,2.929
2025-08-01 06:00,MRP_2,2,2.1144
2025-08-01 06:00,MRP_1,1,3.63
2025-08-01 06:00,TNP_3,3,2.2511
2025-08-01 06:00,TNP_2,2,6.4371
2025-08-01 06:00,TNP_1,1,0.0154
2025-08-01 06:00,DSC_9,9,2.2683
2025-08-01 06:00,DSC_8,8,0.8693
2025-08-01 06:00,DSC_7,7,4.4371
